danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.591,0.705,,0.079,,0.000116,0.131,0.27,,pop
0.652,0.898,-4.481,0.0361,0.29,0.0,0.073,0.472,114.043,pop
0.706,,,0.215,0.0911,0.0,0.347,0.293,107.184,pop
0.404,,-4.75,0.0496,0.198,0.0,0.114,0.112,148.036,pop
0.876,0.856,-3.884,0.0486,0.0812,,0.457,0.685,121.991,pop
0.802,0.645,,0.0715,0.272,,0.119,0.376,100.001,pop
0.906,,-3.004,0.0718,0.0909,0.0,0.152,,104.03,pop
0.753,0.657,-3.061,0.0449,0.171,,0.112,0.437,,pop
0.693,0.674,-4.449,0.0723,0.185,0.0,,,95.972,pop
0.672,0.815,-6.476,0.0981,0.00246,0.0,0.577,0.341,115.033,pop
,0.76,,0.0406,,,,0.523,104.099,pop
,0.594,,0.0318,0.0128,0.0,0.118,0.442,,pop
,0.881,-2.853,0.147,0.296,3.01e-06,0.0793,0.234,98.994,pop
0.691,0.538,-9.952,0.103,0.246,0.163,0.178,0.329,99.972,pop
0.661,0.758,-5.299,0.0864,0.0797,0.0,0.106,0.387,114.098,pop
0.653,0.69,-5.003,0.0756,0.109,,0.136,0.652,110.214,pop
0.734,0.693,,0.0361,0.0878,0.0,0.341,0.55,110.021,pop
0.663,0.696,-5.994,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,pop
0.55,0.899,-3.284,0.0458,0.0113,9.65e-05,0.137,0.408,125.85,pop
0.703,0.868,,0.0291,0.15,0.132,0.104,0.733,121.03,pop
0.44,0.635,,0.0326,0.129,0.0,0.121,0.327,128.133,pop
,0.707,-4.761,0.0337,0.22,,0.213,0.479,138.064,pop
0.625,0.719,-5.541,0.0612,0.048,0.0,0.0668,0.326,101.091,pop
0.547,,,0.0489,0.145,0.0,,0.723,118.118,pop
0.673,0.596,-7.891,0.0354,0.166,0.0,0.11,,123.969,pop
0.699,0.633,,0.0362,0.0453,,0.101,0.458,,pop
0.647,0.726,-4.389,0.0552,0.157,,0.0844,,,pop
0.588,0.67,-6.439,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,pop
0.655,,-11.684,0.0799,0.295,0.00108,0.0788,0.224,107.992,pop
0.79,0.865,-4.159,0.0438,0.0264,0.0892,0.24,,,pop
0.611,0.737,-5.154,0.0476,0.0145,0.0,0.107,0.574,,pop
0.726,0.763,-6.872,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,pop
0.714,,-6.479,0.0995,0.292,,0.126,0.471,114.994,pop
0.619,0.938,-5.245,0.35,0.0257,1.39e-05,0.128,,94.38,pop
0.575,0.808,,0.0439,,0.0,0.0693,0.232,127.922,pop
0.768,0.808,-1.818,0.112,0.00627,5.33e-06,0.343,,119.971,pop
0.767,0.605,-5.737,0.188,0.559,0.000363,0.193,0.657,107.042,pop
0.466,,-4.855,,0.0655,4.07e-06,0.132,0.236,,pop
0.434,0.917,-3.613,0.0633,0.301,1.8e-05,0.289,,,pop
0.744,0.79,-4.617,0.0562,0.0547,0.000802,,,,pop
,0.818,-4.474,0.0533,0.0527,,0.11,0.484,109.993,pop
0.514,0.856,,0.0717,0.00123,6.34e-06,0.544,0.351,117.014,pop
0.69,0.622,-5.025,0.0622,0.253,0.0,0.116,,102.04,pop
0.466,0.869,-4.275,0.0529,0.0142,0.00241,0.115,0.185,126.113,pop
0.842,0.801,-4.167,0.228,0.157,4.82e-06,0.0642,,95.881,pop
0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,,95.01,pop
0.647,0.624,-8.446,0.0451,0.025,0.056,0.0616,0.477,115.002,pop
0.509,0.781,-3.48,0.072,0.0398,0.0,0.0749,0.176,128.0,pop
0.737,0.636,-4.546,0.0437,0.0441,6.66e-05,0.35,,105.005,pop
0.584,0.54,,0.0576,0.0895,0.0,0.261,,137.972,pop
0.743,0.733,-5.337,0.0375,0.00402,0.0,0.304,,104.977,pop
0.721,,,0.0657,0.0334,0.00084,0.237,0.667,104.994,pop
0.781,,-5.991,0.0394,0.0119,4.91e-06,0.325,,123.07,pop
0.737,0.828,-4.711,0.0396,0.0149,0.000583,0.0862,,124.052,pop
0.57,0.763,-4.137,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,pop
0.551,,-5.828,,0.225,0.0,0.224,0.562,,pop
0.617,0.635,-6.769,0.0317,0.0498,,,0.446,103.019,pop
,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,pop
0.503,0.748,-4.124,0.0619,0.0305,,0.343,,,pop
0.64,0.533,-6.596,0.0706,0.119,,0.0864,,99.968,pop
,,-6.628,0.0393,0.248,0.0,0.368,0.248,124.91,pop
0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,,0.163,99.988,pop
0.713,,,0.0561,0.0435,0.00377,0.309,,100.001,pop
0.596,0.738,-3.109,0.0411,0.109,0.0,0.0947,,127.961,pop
0.503,0.727,-5.456,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,pop
0.609,0.726,-4.346,0.0414,0.0723,,,,,pop
0.654,0.76,,0.045,0.0797,0.0,0.299,0.41,99.945,pop
0.63,,-2.787,0.0331,0.199,0.124,0.148,,123.963,pop
0.532,,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,pop
0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,pop
0.604,0.787,-3.674,0.103,0.0679,,,0.301,,pop
0.432,0.74,,0.062,0.0342,,0.14,0.193,139.42,pop
0.638,,-5.039,0.049,0.141,0.0,0.113,0.648,124.071,pop
0.759,,,0.0818,0.0223,,0.231,0.469,105.009,pop
0.614,0.832,-3.419,0.0522,0.11,0.0,0.185,0.429,129.038,pop
0.669,0.832,-5.72,0.0682,0.0106,0.0,,0.7,113.035,pop
,,-4.081,0.03,0.433,0.0,0.135,0.382,,pop
0.851,0.806,,0.0786,0.12,1.33e-06,0.121,,,pop
0.738,,-4.373,0.0731,0.0389,0.00171,0.388,,122.003,pop
0.57,0.672,-5.89,0.0723,0.177,0.0,0.0768,0.448,120.019,pop
,,-3.785,0.0576,0.122,0.0,0.333,0.568,,pop
0.708,0.727,,,0.0201,0.676,0.37,0.512,120.012,pop
0.654,,-4.999,0.0502,0.00515,0.0,0.144,,123.978,pop
,0.584,-7.649,0.044,0.0955,0.341,0.147,0.626,,pop
0.704,0.929,-4.447,0.0395,0.0395,0.0249,,0.633,126.055,pop
0.765,,-2.097,0.0965,0.125,0.0,0.423,0.95,96.071,pop
0.682,0.855,,,0.0566,1e-06,,0.304,,pop
0.627,,-7.104,0.0349,0.0922,0.000166,0.143,0.596,124.039,pop
0.762,,-7.66,0.0778,0.135,0.0538,0.113,0.248,126.007,pop
0.577,0.844,-3.364,0.0406,0.00407,,0.499,0.283,115.066,pop
0.632,0.816,-4.584,0.0349,0.00205,0.106,0.119,0.134,127.95,pop
0.598,0.526,-8.659,0.0415,0.129,0.0,0.14,,123.935,pop
0.825,0.841,-6.433,,0.0906,0.00411,0.258,0.616,126.026,pop
0.63,0.731,-4.985,0.0352,0.0191,,0.704,0.46,,pop
0.795,0.899,,0.0685,0.00235,0.000392,0.199,0.329,,pop
0.529,0.717,,0.24,0.123,0.000707,0.0363,0.481,103.99,pop
0.7,,-5.896,0.0666,0.121,7.08e-06,0.103,0.761,,pop
0.791,0.541,-7.14,0.054,0.123,4.74e-05,0.121,0.433,115.987,pop
0.904,0.633,,0.0958,0.203,0.000266,0.163,0.492,121.995,pop
0.744,0.725,-6.055,0.0303,0.018,9.29e-06,0.212,0.904,118.034,pop
0.772,0.687,-6.348,0.211,0.0528,,0.834,0.59,118.116,pop
0.706,0.524,-8.804,0.026,0.127,0.00129,0.109,,111.991,pop
,,-7.115,0.27,0.0352,0.0,0.0612,0.252,122.019,pop
0.781,,,0.0374,0.0814,9.71e-05,0.106,0.498,110.051,pop
0.789,0.547,,0.0748,0.072,9.21e-05,0.0782,0.48,,pop
0.575,0.808,-4.578,0.0439,0.0446,0.0,0.0693,0.232,127.922,pop
0.669,0.797,-5.68,0.0624,0.259,0.0,0.199,0.552,,pop
0.567,,,0.0541,0.0978,,0.0836,0.295,104.983,pop
0.653,0.757,-3.642,0.0555,0.0997,0.0,0.242,,128.015,pop
0.721,,-4.239,0.0606,0.142,,0.143,0.327,110.026,pop
0.534,0.765,-3.151,0.0338,0.0915,0.00107,0.225,0.117,127.978,pop
0.651,0.693,-4.722,0.0375,0.458,,0.335,,,pop
0.682,0.923,,0.0364,0.00395,3e-05,0.242,0.37,130.052,pop
,0.827,-5.081,0.0789,0.429,0.0,0.0923,0.611,,pop
0.57,0.965,-4.881,0.0348,0.00108,0.523,0.201,0.148,123.008,pop
0.608,,,0.0684,0.199,0.0,0.309,0.422,126.022,pop
0.561,0.562,-11.431,0.15,0.062,0.0,0.118,0.244,151.631,pop
,0.88,,0.223,0.0804,0.0,0.326,0.482,127.013,pop
,,-3.988,0.035,0.0267,0.000138,0.0623,0.258,,pop
0.745,0.8,-5.606,0.0361,0.0209,0.000479,0.113,0.314,,pop
,,-5.219,0.321,0.167,1.36e-05,0.119,0.233,,pop
0.53,0.729,-6.019,0.0376,0.00699,0.0,0.103,,139.929,pop
0.552,0.887,-3.812,0.147,0.0457,0.0207,0.0903,,125.229,pop
0.471,0.911,-4.372,0.0594,0.0316,0.00648,0.571,,126.112,pop
0.747,0.776,-5.898,0.0722,0.0233,1.38e-05,0.761,0.67,125.07,pop
0.712,0.664,-8.026,,0.0416,0.000104,0.0668,0.781,122.014,pop
0.733,,-5.03,0.033,0.479,0.0645,0.105,0.52,124.948,pop
0.517,0.793,-5.851,0.0367,0.0214,,0.0892,0.176,90.06,pop
0.675,0.674,-6.329,0.0372,0.00339,8.55e-05,0.279,0.414,125.037,pop
0.818,0.823,-3.563,0.2,0.0663,1.17e-05,0.133,0.52,,pop
0.639,,-3.905,0.0344,0.128,6.69e-06,0.159,0.305,128.002,pop
0.535,,,0.0353,0.0202,0.000715,0.0886,0.732,126.012,pop
0.784,0.721,-5.457,0.0506,0.0149,,0.285,0.895,121.966,pop
0.809,0.758,-5.658,0.101,0.409,,0.166,0.71,,pop
,0.793,-6.16,0.0403,0.0318,0.0372,,,121.995,pop
0.578,,-4.665,,0.232,,0.122,0.347,105.945,pop
0.733,,-2.84,0.0335,0.0145,0.000187,,0.471,126.009,pop
0.63,,,0.0978,0.0717,0.0,0.108,0.499,122.055,pop
0.845,0.766,,0.0658,0.212,0.0,0.111,0.782,114.054,pop
0.679,0.866,,0.0566,0.0337,,0.0688,0.441,121.927,pop
0.657,0.882,,0.0456,0.247,0.00202,0.112,0.179,127.994,pop
0.493,0.773,-3.791,0.157,0.429,7.07e-06,0.0807,0.301,123.149,pop
0.687,0.706,-5.357,0.0459,0.091,,0.124,,115.268,pop
0.654,0.874,,0.0543,0.169,1.77e-06,0.134,,119.85,pop
0.661,,-5.299,0.0864,0.0797,0.0,,,114.098,pop
0.447,0.684,-4.721,0.09,0.175,,0.478,0.437,125.655,pop
0.731,0.802,-4.763,0.0623,0.022,0.0,0.059,0.434,121.991,pop
0.489,,-5.84,0.0851,0.0511,1.35e-05,0.126,0.117,121.445,pop
0.6,0.888,-4.612,0.13,0.00166,,0.4,0.641,126.056,pop
,0.707,-6.19,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,pop
0.711,,-4.809,0.106,0.0835,0.0,0.0389,0.478,,pop
0.693,0.575,-6.998,0.0801,0.374,0.0,0.252,,117.999,pop
0.683,0.785,-4.879,0.037,0.0643,1.34e-05,0.177,0.581,122.997,pop
0.638,,-4.517,0.05,0.131,1.78e-05,0.107,0.489,,pop
0.707,0.806,,0.175,0.00908,0.0,0.366,,119.972,pop
0.59,0.888,-2.851,0.0765,0.0216,0.0,0.487,,126.094,pop
,,-8.584,0.053,0.0942,0.0,0.215,0.557,,pop
0.703,,-4.514,0.177,0.0693,0.0,0.315,0.542,124.972,pop
0.79,0.746,,,0.241,0.0,0.316,,124.971,pop
0.733,0.718,-7.149,0.0376,0.0107,0.0102,0.33,0.206,122.993,pop
0.728,0.848,-6.248,0.185,0.0427,4.49e-06,0.118,0.612,124.993,pop
0.502,,-4.547,0.244,0.333,,0.72,0.607,122.688,pop
0.638,,-5.001,0.0421,0.24,0.0,0.311,,,pop
0.685,,-4.302,0.0894,0.334,,0.047,0.483,114.989,pop
0.62,0.906,-3.638,0.0627,0.102,0.0206,0.183,,,pop
0.601,0.775,-4.612,0.0473,0.269,0.0,0.0883,0.483,,pop
0.762,0.665,-6.92,0.0471,0.169,0.0,0.103,0.961,115.946,pop
0.684,0.95,-2.588,0.0809,0.0207,,0.105,0.436,125.974,pop
0.65,0.819,-3.811,0.0551,0.117,0.0,0.0772,0.351,128.09,pop
0.448,0.836,-6.495,0.0809,0.229,,0.427,0.482,122.899,pop
0.712,,-4.23,0.182,0.116,0.0,0.123,0.607,104.998,pop
,,,0.115,0.054,0.0,0.379,,111.969,pop
0.739,,-5.382,0.0394,0.532,,,0.615,,pop
0.647,,,0.0372,0.0635,0.0,0.188,0.409,127.992,pop
0.669,0.895,-3.787,0.0575,0.128,0.0,0.297,,124.964,pop
0.792,,,0.0362,0.219,,0.0911,0.429,109.984,pop
0.706,0.931,-3.053,0.0456,0.354,3.72e-06,0.146,0.465,123.012,pop
0.645,,-5.439,0.0343,0.0334,1.05e-05,0.089,0.424,127.959,pop
0.662,,,0.0971,0.073,0.0,0.0833,,118.958,pop
0.673,,-3.574,0.0569,0.143,0.0,0.184,0.704,,pop
0.516,,,0.0463,0.0368,,0.264,0.448,127.949,pop
0.686,0.613,-5.614,0.069,0.0386,0.0,0.251,0.452,104.988,pop
0.503,0.754,-3.634,0.0424,0.264,5.85e-05,0.297,0.597,116.524,pop
0.382,0.698,-3.409,0.0374,0.00236,5.24e-05,0.108,0.151,127.816,pop
0.59,0.642,-3.87,0.122,0.0771,0.0,0.105,0.651,,pop
0.708,,-3.117,0.0615,0.031,,0.191,0.662,109.991,pop
0.588,0.757,-2.415,,0.327,0.0,0.323,,122.813,pop
0.636,,-6.396,0.0346,0.0796,,0.13,,104.845,pop
0.682,0.786,-4.87,,0.214,0.0,0.12,0.664,91.042,pop
0.639,0.705,-5.039,0.049,0.045,0.0,0.425,0.595,,pop
0.815,,-7.162,0.218,0.399,0.0,,0.182,125.95,pop
0.696,0.907,-4.157,0.073,0.0191,1.23e-05,0.124,0.466,125.932,pop
0.659,0.617,,0.0649,0.27,0.0,0.187,0.187,119.858,pop
0.592,,-5.65,0.0275,0.0715,0.00982,0.142,,122.011,pop
0.651,,-6.077,0.0309,0.179,0.0,0.113,0.591,121.977,pop
,,-11.024,0.0701,0.145,0.00485,0.257,0.277,125.161,pop
0.673,0.687,-5.295,0.0623,0.269,0.0,0.181,,96.964,pop
,,-4.107,0.108,0.317,,0.14,0.541,,pop
0.768,0.83,-4.983,0.036,0.0229,0.000127,0.145,,126.007,pop
0.734,0.765,-5.562,0.0621,0.151,0.0,0.231,0.518,109.989,pop
0.689,0.901,-1.431,0.0678,0.145,1.03e-05,0.459,0.651,125.115,pop
0.676,,,,0.221,0.00627,0.515,,124.012,pop
,0.693,,0.131,0.329,0.0,0.136,0.699,124.206,pop
,,-5.146,0.0378,0.0106,3.58e-06,0.0321,0.759,,pop
0.6,0.754,,0.0488,0.0688,0.0,0.151,0.641,128.044,pop
0.691,0.924,-3.839,0.0577,0.00828,,0.402,0.34,125.983,pop
0.63,0.726,,0.0978,0.0717,0.0,0.108,,122.055,pop
0.734,0.921,-1.936,0.0863,0.0328,0.0,0.197,,120.056,pop
0.605,0.854,-4.128,0.0488,0.0673,0.0,0.54,0.165,,pop
0.609,,,0.0796,0.00959,,0.15,0.342,,pop
0.733,0.839,-2.84,0.0335,0.0145,0.000187,0.162,0.471,126.009,pop
,,-5.115,0.0431,0.131,0.0,0.173,0.123,169.988,pop
,0.723,-6.976,,0.179,,0.14,0.316,113.778,pop
0.752,,,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,pop
0.704,0.888,-2.872,0.0541,0.00553,0.0011,0.079,0.531,125.027,pop
0.655,0.713,-6.293,0.0501,0.338,0.0,,,94.05,pop
0.732,0.734,-6.423,0.107,0.00719,1.49e-05,,0.643,123.033,pop
0.619,0.735,-3.925,0.0445,0.017,1.78e-06,0.347,0.668,119.981,pop
0.746,0.846,-2.432,0.048,0.0485,0.0,0.195,,114.955,pop
0.776,0.809,,0.069,0.415,,0.179,0.582,100.071,pop
0.621,,-4.569,0.0401,0.0976,1.08e-05,0.404,0.332,124.018,pop
0.767,0.674,-6.246,0.0529,0.0216,5.88e-05,0.257,0.221,121.011,pop
0.655,0.672,-4.966,0.0581,0.253,0.0,0.312,0.675,,pop
,0.656,,0.0611,0.143,,0.094,,103.081,pop
,,-6.389,0.0933,0.158,0.0,0.138,0.312,99.017,pop
0.445,,-6.724,,0.158,2.21e-06,0.128,0.263,175.903,pop
0.807,0.887,-4.311,0.0361,0.016,0.000503,0.0811,0.606,122.015,pop
0.684,,-4.881,0.0296,0.00576,7.42e-06,0.201,,117.993,pop
0.653,0.708,-5.385,0.0345,0.109,0.0011,0.163,0.347,111.924,pop
0.662,,,0.0428,0.00163,0.0,0.0456,,133.993,pop
0.691,,-4.527,0.0401,0.136,0.000115,0.092,0.759,104.961,pop
0.717,,-5.485,0.0432,0.0421,0.000467,0.0699,0.206,125.064,pop
0.677,0.497,,0.0809,0.152,0.0,0.0911,0.419,99.137,pop
0.715,0.605,,0.0428,0.239,1.41e-05,0.189,0.454,122.956,pop
0.572,,-4.826,0.0406,0.0754,0.0,0.226,0.559,89.996,pop
0.645,,-4.989,0.0339,0.0323,,0.29,0.534,123.07,pop
0.497,0.924,-3.43,,0.149,0.251,0.267,0.283,120.018,pop
0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,,125.983,pop
0.401,0.872,-3.641,0.314,0.167,,0.362,0.472,104.592,pop
0.738,0.794,-4.118,0.0416,0.101,0.0,0.0533,0.566,104.014,pop
0.702,0.903,,0.038,0.121,0.000123,0.168,0.66,125.948,pop
0.814,0.705,-4.734,0.0904,0.0958,,0.0687,0.6,110.004,pop
0.724,0.733,-5.539,0.0382,0.0249,0.000318,0.127,0.672,125.993,pop
0.771,0.826,-3.978,0.0604,0.142,0.03,0.145,0.185,100.012,pop
,,-2.867,0.045,0.374,0.0,0.0586,0.687,128.005,pop
0.813,,-5.687,0.085,0.0529,0.0119,0.337,0.29,124.957,pop
,0.794,-3.992,0.0635,0.148,,0.0688,,112.071,pop
,0.704,,0.0476,0.0691,,0.166,,133.002,pop
0.564,,,0.0952,0.0112,0.0,0.101,,127.948,pop
0.414,0.486,,0.0311,0.0129,0.0,0.111,0.368,,pop
0.682,0.656,-4.67,0.0435,0.0737,0.0,0.353,0.607,130.089,pop
,0.471,-8.199,0.0719,0.0946,0.0,0.22,0.219,127.963,pop
0.69,,,0.174,0.0655,1.45e-06,0.136,0.307,131.945,pop
0.594,0.722,-5.751,0.0398,0.0156,0.0,0.0667,0.407,127.877,pop
0.468,,-4.083,0.0478,0.0224,0.922,0.194,,129.998,pop
0.465,0.739,-7.786,0.0648,0.00987,1.88e-06,0.373,0.0652,125.994,pop
0.701,,,0.375,0.328,0.13,0.1,0.562,,pop
0.631,0.939,-1.7,0.0398,0.0728,0.000187,0.319,,128.048,pop
0.578,,-2.698,0.0409,0.363,0.00119,0.175,0.608,129.03,pop
,,-3.621,0.1,0.00196,0.0316,0.171,0.413,,pop
0.715,,-6.4,0.0325,0.055,0.0236,0.269,0.357,128.024,pop
0.714,,-4.34,,0.00736,0.0,0.342,0.32,128.045,pop
0.691,0.874,,0.09,0.0286,0.633,0.0704,0.0909,,pop
0.651,,-5.062,0.0378,0.111,6.13e-05,0.0488,0.425,125.089,pop
0.59,0.888,,0.0797,0.000753,0.00535,0.817,0.0715,,pop
0.438,0.914,-3.919,0.0601,0.0206,0.623,0.12,,128.184,pop
,0.678,-5.48,,0.0259,2.2e-05,0.0707,0.4,126.061,pop
0.461,,-6.436,0.0539,0.0153,0.0,0.234,0.266,,pop
,0.954,-1.835,0.0283,0.119,0.168,,0.788,128.014,pop
0.446,,-5.081,,0.0416,0.0,0.108,0.167,135.96,pop
0.577,0.741,-3.83,0.0501,0.298,0.0,0.142,0.581,,pop
0.486,,-4.493,0.0497,0.000452,0.00146,0.249,0.151,129.9,pop
0.635,0.9,-3.719,0.0377,0.00664,0.0145,0.37,0.15,127.978,pop
0.733,0.791,,0.0403,0.239,,,0.477,128.007,pop
0.627,0.956,-4.498,0.0719,0.0256,0.588,0.125,0.392,127.984,pop
0.527,,-5.639,0.0323,0.000598,0.0,0.358,0.534,131.882,pop
0.742,,-2.758,0.0476,0.339,0.0,0.0595,0.694,128.022,pop
0.708,0.868,-3.287,0.0431,0.0313,0.0,0.122,0.72,124.994,pop
0.653,0.911,-2.979,0.0645,0.0623,5.22e-05,0.301,0.335,125.959,pop
0.361,0.945,,0.111,0.00105,0.0342,0.0967,0.138,,pop
